id|name|stock_name|price|quantity|start_date
716|Gretel Lehrer|Heartland Financial USA, Inc.|8437.11|238|2019-10-19
717|Zonnya Brosini|Peoples Bancorp Inc.|1535.84|339|2019-02-25
718|Meryl Tidbury|ESCO Technologies Inc.|9233.86|909|2019-03-08
719|Valaria Semrad|NICE Ltd|2100.65|569|2020-07-03
720|Sherm Beldom|Pinnacle Entertainment, Inc.|9746.96|305|2020-02-01
721|Nanci Andrich|Andina Acquisition Corp. II|8860.20|858|2020-03-26
722|Conrade Giacomozzo|Bear State Financial, Inc.|2585.67|724|2020-08-07
723|Ruthann Luetkemeyer|American Axle & Manufacturing Holdings, Inc.|8530.04|463|2019-11-01
724|Kirsti Phin|Fidelity Nasdaq Composite Index Tracking Stock|1618.02|533|2020-04-02
725|Fiona McGeffen|Pretium Resources, Inc.|5722.32|425|2020-05-13
726|Frazier Jirousek|Blackrock Municipal 2018 Term Trust|9464.63|125|2019-09-12
727|Bonnee Devons|America Movil, S.A.B. de C.V.|2034.16|809|2020-05-06
728|Kitty Bleythin|PowerShares DWA Healthcare Momentum Portfolio|6344.48|959|2019-09-28
729|Euphemia Daffey|Veritiv Corporation|3108.65|891|2019-08-17
730|Jessica Duckhouse|Onconova Therapeutics, Inc.|2471.03|179|2019-02-25
731|Danie Mattea|Allied Healthcare Products, Inc.|3550.55|341|2019-03-23
732|Alonso Reuven|CenterPoint Energy, Inc.|8678.09|91|2020-05-30
733|Sofia Cogley|StarTek, Inc.|5455.35|841|2019-02-03
734|Nicolis Mongin|First Trust Mega Cap AlphaDEX Fund|4393.09|919|2019-11-29
735|Leland Pitson|GlycoMimetics, Inc.|8608.71|977|2019-01-21
736|Eddie Hinkens|DMC Global Inc.|4783.89|577|2020-01-18
737|Zackariah Gabitis|Liberty Property Trust|1715.16|347|2019-02-06
738|Ronda Wragg|Paragon Commercial Corporation|1185.36|911|2019-07-09
739|Ashil Pimm|AAR Corp.|5630.67|752|2020-04-24
740|Tallou Pitkeathley|Vanguard Short-Term Corporate Bond ETF|7797.07|763|2019-06-03
741|Jefferson Andrich|Paratek Pharmaceuticals, Inc. |4002.53|439|2019-08-10
742|Donny Heggadon|e.l.f. Beauty, Inc.|4010.07|472|2020-02-22
743|Doralia Nockolds|PPlus Trust|1469.71|331|2020-01-02
744|Melissa Corking|ARMOUR Residential REIT, Inc.|4325.11|476|2019-03-02
745|Margalit Antonoczyk|Nuveen Ohio Quality Municipal Income Fund|8997.36|643|2020-03-08
746|Lyndsey Cawsy|Rush Enterprises, Inc.|8995.90|254|2019-07-02
747|Grace Tremblett|Radware Ltd.|8546.01|618|2020-07-30
748|Leeanne Scamerden|PulteGroup, Inc.|2799.66|841|2019-07-22
749|Pearla Deegan|Wecast Network, Inc.|1346.42|345|2019-04-04
750|Veda Innwood|IntriCon Corporation|1606.08|573|2019-05-04
751|Gracie Leverton|United Community Financial Corp.|9546.69|747|2019-12-19
752|Bria Jenckes|AbbVie Inc.|7758.20|28|2020-07-15
753|Kathlin Broune|Organovo Holdings, Inc.|9520.03|689|2020-03-09
754|Norri Dimmick|Beneficial Bancorp, Inc.|2897.85|463|2019-08-03
755|Stepha Gadney|Amplify Snack Brands, inc.|5657.28|503|2019-01-08
756|Rabbi Garnam|CBOE Holdings, Inc.|8445.58|454|2019-09-10
757|Mair Sarah|Molson Coors Brewing  Company|1952.25|965|2020-07-10
758|Veronica Stanfield|Children's Place, Inc. (The)|9605.14|660|2020-02-26
759|Esteban Petchell|PS Business Parks, Inc.|9084.92|558|2019-03-23
760|Jeffry Doche|Premier Financial Bancorp, Inc.|1586.82|683|2019-09-18
761|Gonzalo Valance|Finjan Holdings, Inc.|1160.24|956|2020-07-22
762|Wilhelmina Beckford|Evoke Pharma, Inc.|9273.43|171|2020-06-18
763|Arlan Jenno|LTC Properties, Inc.|8526.21|178|2020-05-18
764|Penny Keane|Vanguard International High Dividend Yield ETF|6807.96|847|2020-05-06
765|Gayle Gellert|ATN International, Inc.|1041.95|220|2019-02-17
766|Diarmid Pallaske|ECA Marcellus Trust I|1128.49|953|2020-02-02
767|Missy Avory|Rice Midstream Partners LP|9046.74|987|2020-04-29
768|Hieronymus Rachuig|Cohu, Inc.|7208.43|450|2020-05-16
769|Barrie McKeevers|Enel Generacion Chile S.A.|4678.52|650|2020-05-25
770|Bran O' Cloney|Nuveen Preferred Income Opportunites Fund|9682.99|706|2019-12-18
771|Doyle Craze|Broadcom Limited|6985.53|745|2020-05-10
772|Concordia Vickarman|Luxoft Holding, Inc.|6145.84|887|2019-09-25
773|Emmie Blackie|Donaldson Company, Inc.|2364.04|692|2020-01-23
774|Theodora Ferbrache|Alphabet Inc.|2368.58|109|2019-06-06
775|Colan Govern|Cincinnati Financial Corporation|7847.56|247|2020-05-31
776|Dar Naper|KKR & Co. L.P.|4206.79|533|2019-10-22
777|Pooh Yanez|Pyxis Tankers Inc.|4828.55|745|2020-06-10
778|Nadya Buggs|Federal Agricultural Mortgage Corporation|4214.42|279|2019-04-15
779|Ricki Lighton|Source Capital, Inc.|6800.21|88|2019-08-13
780|Jordain Spurway|ReWalk Robotics Ltd|8822.00|144|2019-01-17
781|Isiahi Meineken|Handy & Harman Ltd.|6543.32|551|2020-06-03
782|Adrian Eagan|ContraFect Corporation|8163.90|534|2019-09-02
783|Nissie Blanden|Avangrid, Inc.|1084.43|120|2019-09-08
784|Pasquale Tucknutt|M I Acquisitions, Inc.|1164.12|944|2019-04-26
785|Garrick Binford|BLDRS Developed Markets 100 ADR Index Fund|9684.21|797|2019-02-15
786|Carlye Andrysek|Credit Suisse Group|3583.61|258|2020-01-13
787|Tova Schubbert|The Charles Schwab Corporation|8444.21|544|2020-03-05
788|Penny Trodden|Healthcare Trust of America, Inc.|9727.77|814|2019-11-18
789|Farlay Jobbings|FireEye, Inc.|8235.97|6|2020-04-19
790|Dory Kyte|Brocade Communications Systems, Inc.|1750.39|688|2019-11-03
791|Tiffanie Kondratyuk|State Street Corporation|1363.05|667|2019-11-24
792|Marlin Castledine|CymaBay Therapeutics Inc.|1979.61|320|2019-12-15
793|Steffane Clough|SunTrust Banks, Inc.|8901.63|982|2019-07-28
794|Bertrand Holston|Fiserv, Inc.|5382.51|910|2019-03-18
795|Webb Wyleman|Embotelladora Andina S.A.|2245.53|622|2019-07-23
796|Andee Pendlenton|Matador Resources Company|8145.43|365|2020-03-12
797|Hortensia Chastey|Expedia, Inc.|1399.63|549|2020-03-26
798|Kizzee Tille|Teligent, Inc.|4826.43|449|2020-07-12
799|Farley Sabater|Unifi, Inc.|1420.39|278|2020-03-21
800|Muffin Chadney|Ovid Therapeutics Inc.|9558.46|291|2019-10-21
801|April Tarburn|Amkor Technology, Inc.|3147.45|201|2019-12-03
802|Buddy Riste|Actua Corporation|8218.39|813|2020-03-27
803|Minetta McComiskey|Washington Prime Group Inc.|8712.00|20|2020-06-03
804|Fidelia Benza|CDW Corporation|7140.91|191|2020-03-16
805|Wiley Mettricke|Hanesbrands Inc.|4801.29|132|2020-08-05
806|Thedric Risebarer|Optibase Ltd.|9161.72|574|2020-05-12
807|Cad Snelman|Ocean Bio-Chem, Inc.|7590.29|296|2019-01-28
808|Aridatha Hamstead|EnerNOC, Inc.|4052.60|498|2019-02-18
809|Loise Dench|Shutterfly, Inc.|2507.48|903|2019-08-11
810|Thorsten Tash|Franklin Covey Company|9137.12|63|2020-04-16
811|Querida Grimsditch|Echelon Corporation|2802.92|856|2019-03-04
812|Annecorinne Hadlington|VCA Inc. |1720.28|448|2019-09-22
813|Emma Goggan|Ecopetrol S.A.|7775.30|824|2019-12-14
814|Morey Soughton|Callon Petroleum Company|8674.51|752|2020-04-25
815|Timmy MacKill|XTL Biopharmaceuticals Ltd.|1798.86|98|2019-11-24
816|Bird Bulbeck|Central Valley Community Bancorp|9034.45|808|2019-07-30
817|Mandie Newbatt|BlackRock Capital Investment Corporation|4939.41|922|2019-01-15
818|Kit Mahoney|China Jo-Jo Drugstores, Inc.|5871.81|159|2019-09-26
819|Myrta Bourley|Star Bulk Carriers Corp.|6143.52|823|2019-05-17
820|Garek Onn|BOK Financial Corporation|1696.64|234|2019-03-09
821|Ree Ventom|VOC Energy Trust|1412.28|107|2019-10-24
822|Lyell Heggadon|U.S. Auto Parts Network, Inc.|4938.58|512|2019-09-03
823|Hulda Harper|Jumei International Holding Limited|6851.66|749|2019-03-18
824|Marcie Giottoi|SciClone Pharmaceuticals, Inc.|1028.13|55|2020-01-16
825|Ignacio Gullen|Harmony Merger Corp.|5274.48|715|2020-03-21
826|Terrie Persse|Five9, Inc.|7981.72|409|2019-10-30
827|Dulcine Keepence|The Dixie Group, Inc.|5675.78|840|2019-02-05
828|Lilah Shortcliffe|Fusion Telecommunications International, Inc.|5440.39|624|2019-07-14
829|Sharleen Ogus|Blackrock MuniHoldings New Jersey Insured Fund, Inc.|6796.40|728|2019-09-05
830|Corey Gamlyn|Morgan Stanley|3945.12|541|2019-12-03
831|Marthe Lankford|Netshoes (Cayman) Limited|1420.51|171|2019-02-25
832|Sissy Heady|Nuveen Municipal High Income Opportunity Fund|5874.41|72|2019-06-08
833|Lee Marland|Enbridge Energy Management LLC|7060.92|634|2019-02-10
834|Sunshine Bumphrey|Catalyst Biosciences, Inc. |7405.17|464|2020-05-07
835|Concettina Archdeckne|Navient Corporation|5106.50|524|2019-11-09
836|Stillman Gini|Grana y Montero S.A.A.|4161.27|208|2020-01-30
837|Aurie Maddern|Gaia, Inc.|6928.08|492|2019-06-03
838|Alvina Dizlie|Magal Security Systems Ltd.|9719.38|73|2019-08-09
839|Nani Normington|Olin Corporation|3527.65|416|2019-01-06
840|Kelsey Dannell|First Trust Senior Floating Rate Income Fund II|5536.63|773|2020-06-08
841|Alvie Dunmuir|PerkinElmer, Inc.|9524.54|802|2020-04-08
842|Rand Allcoat|LegacyTexas Financial Group, Inc.|3278.21|413|2019-01-29
843|Wallache Capell|Domtar Corporation|8094.66|105|2020-05-03
844|Henryetta Loveman|Blackrock MuniYield New Jersey Fund, Inc.|6811.00|804|2020-05-11
845|Silva Weeks|Telephone and Data Systems, Inc.|2916.46|930|2019-11-07
846|Kikelia Brimblecombe|TAL Education Group|3652.26|684|2020-05-13
847|Olvan Jeanesson|JMP Group LLC|9135.72|690|2019-02-09
848|Thedrick Brabon|Nuveen Massachusetts Municipal Income Fund|8138.73|612|2020-07-10
849|Lena Foldes|EPAM Systems, Inc.|1844.78|676|2020-03-24
850|Marna Gaskarth|BiondVax Pharmaceuticals Ltd.|4447.32|968|2020-07-26
851|Angelica MacCosto|BlackRock New Jersey Municipal Income Trust|8395.48|629|2020-01-03
852|Em Penylton|Kilroy Realty Corporation|7276.13|563|2019-02-28
853|Darelle Currum|Meridian Waste Solutions, Inc|7906.31|525|2020-05-15
854|Joellyn Bonney|BofI Holding, Inc.|6850.90|341|2019-08-18
855|Wilfrid Kaspar|Telephone and Data Systems, Inc.|4645.72|844|2019-04-14
856|Wilmette Pragnell|Vertex Pharmaceuticals Incorporated|9594.87|38|2020-02-14
857|Leicester Ettles|ING Group, N.V.|3985.95|105|2020-04-25
858|Rosella Ditchfield|Loxo Oncology, Inc.|9042.45|599|2019-12-06
859|Sarette Dumbar|Verastem, Inc.|8101.73|849|2020-01-04
860|Felecia Spadeck|Duff & Phelps Utility & Corporate Bond Trust, Inc.|5225.48|751|2020-03-15
861|Glyn Marrows|Check Point Software Technologies Ltd.|9015.30|336|2020-04-26
862|Norri Bucklee|Organovo Holdings, Inc.|6532.01|895|2019-03-18
863|Geoffry Huffey|Miller Industries, Inc.|5959.96|700|2019-02-22
864|Darbee Lowton|Landmark Bancorp Inc.|9639.63|684|2019-08-02
865|Lucias Forrester|RenaissanceRe Holdings Ltd.|9355.55|314|2019-05-22
866|Adrianne Hedlestone|AllianzGI NFJ Dividend, Interest & Premium Strategy Fund|4783.62|172|2019-04-22
867|Mora Byne|The Habit Restaurants, Inc.|5561.72|937|2019-03-09
868|Judd Mortimer|DLH Holdings Corp.|9891.11|503|2019-12-28
869|Lowell Belleny|Allete, Inc.|8350.40|522|2019-11-20
870|Terrel Hinksen|Ardmore Shipping Corporation|8922.83|28|2019-10-06
871|Porter Epgrave|Perion Network Ltd|1591.28|572|2020-06-08
872|Minetta Velez|SeaChange International, Inc.|4637.43|685|2019-10-03
873|Fanni Render|Virtus Global Multi-Sector Income Fund|2731.16|615|2019-09-17
874|Norma Dilworth|Cedar Fair, L.P.|9295.73|708|2019-05-27
875|Hyacintha Vogeler|GSV Capital Corp|8259.19|150|2020-04-09
876|Kerrin Spivey|OFG Bancorp|9979.98|951|2020-08-06
877|Georg Rochewell|Westmoreland Coal Company|2278.28|450|2019-02-11
878|Reinald Paynes|Argan, Inc.|6657.99|39|2019-02-08
879|Ketti Roarty|Lennar Corporation|9457.10|803|2019-08-02
880|Ailey Tosdevin|Bank of South Carolina Corp.|9267.30|164|2019-11-05
881|Evanne Powton|Equitable Financial Corp.|9541.46|111|2019-08-14
882|Amandy Rubroe|VWR Corporation|3524.24|665|2020-04-06
883|Dory Trouel|ProAssurance Corporation|5135.57|108|2020-02-20
884|Shayne Gadie|IQ Chaikin U.S. Small Cap ETF|9806.67|114|2019-12-14
885|Natassia Durman|Embotelladora Andina S.A.|4643.45|195|2019-08-21
886|Ev Hischke|QEP Resources, Inc.|4806.45|228|2019-07-03
887|Templeton Rawcliffe|WildHorse Resource Development Corporation|6011.32|11|2020-03-19
888|Natalie Dyer|KLX Inc.|9789.33|106|2019-08-17
889|Spencer Loughren|Galena Biopharma, Inc.|6359.71|373|2019-10-11
890|Dione Rumble|AMERIPRISE FINANCIAL SERVICES, INC.|8105.00|535|2019-08-22
891|Delmar Benda|G. Willi-Food International,  Ltd.|5296.47|123|2020-06-02
892|Loella Spiniello|Devon Energy Corporation|9883.50|465|2020-01-03
893|Luelle Dowdle|First Data Corporation|1667.46|918|2019-08-05
894|Stu Pooke|World Wrestling Entertainment, Inc.|7025.44|436|2019-08-19
895|Charlean McIlmurray|B&G Foods, Inc.|1242.58|441|2019-09-28
896|Stuart Healks|Gold Fields Limited|3146.66|371|2019-11-17
897|Eulalie Beaze|Soligenix, Inc.|1772.74|253|2019-07-23
898|Eimile Pugh|Avista Healthcare Public Acquisition Corp.|5018.87|654|2019-09-11
899|North Casol|Brookfield Global Listed Infrastructure Income Fund|8616.06|556|2019-09-15
900|Emanuel Antoinet|The Charles Schwab Corporation|8125.33|37|2020-07-28
901|Emeline Longea|Kimco Realty Corporation|2153.33|937|2020-06-12
902|Merl Philpot|Sony Corp Ord|8274.22|461|2019-12-29
903|Avie Glason|Key Technology, Inc.|6578.19|972|2019-11-08
904|Floris Mosley|Kandi Technologies Group, Inc.|4781.01|486|2019-07-08
905|Solomon Kondratyuk|Innoviva, Inc.|8722.23|234|2019-03-05
906|Ingelbert Jurca|State Street Corporation|6064.84|684|2019-09-12
907|Shannah Jakubovsky|PC Connection, Inc.|9862.76|354|2020-02-11
908|Hall Mordon|Wells Fargo & Company|2896.58|453|2019-02-16
909|Edita Bramsen|DarioHealth Corp.|2085.13|66|2019-12-21
910|Carmelina Poznanski|Presbia PLC|6761.73|116|2019-05-01
911|Frederik Hayfield|American Public Education, Inc.|2544.44|812|2020-02-08
912|Casar McMichan|Resource Capital Corp.|1963.64|268|2019-08-24
913|Brandais Vice|Entegra Financial Corp.|5333.75|601|2020-04-20
914|Ancell Kmietsch|Northwest Natural Gas Company|1243.99|292|2020-05-27
915|Lexine Stolting|INVESCO MORTGAGE CAPITAL INC|1072.20|836|2020-01-01
916|Leoine Dunstone|City Office REIT, Inc.|6822.04|89|2019-04-29
917|Corry Gowing|People's United Financial, Inc.|1334.59|840|2020-07-29
918|Mal Zammett|Babson Global Short Duration High Yield Fund|2757.49|389|2019-10-05
919|Farrel Ditzel|Ladder Capital Corp|6664.18|398|2019-12-29
920|Laetitia Tabourel|Bel Fuse Inc.|9767.62|699|2020-04-30
921|Gussie Laphorn|Rocky Mountain Chocolate Factory, Inc.|3517.86|728|2019-04-12
922|Stephenie Eyden|SL Green Realty Corporation|8659.46|616|2020-01-19
923|Ryann Strivens|WesBanco, Inc.|8034.64|226|2019-10-26
924|Melamie Warrilow|Liberty Interactive Corporation|9109.84|809|2019-09-26
925|Ashli Fills|Viking Therapeutics, Inc.|1129.22|432|2019-03-18
926|Bailey Wittering|EVINE Live Inc.|2668.09|85|2019-09-08
927|Yuma Eslinger|First Trust Dorsey Wright Focus 5 ETF|5228.35|156|2019-12-27
928|Tab Dinley|Nabriva Therapeutics AG|7478.78|867|2019-04-01
929|Ashton Dyke|BankUnited, Inc.|9528.06|923|2019-11-07
930|Avis Mocher|Taylor Devices, Inc.|1247.07|780|2019-04-12
931|Colas Cowgill|Hersha Hospitality Trust|1734.79|895|2020-03-12
932|Madelina Marien|Double Eagle Acquisition Corp.|2856.51|993|2020-04-21
933|Gwenni Waitland|SAExploration Holdings, Inc.|2345.36|327|2020-04-04
934|Carree Bleiman|AmTrust Financial Services, Inc.|9103.84|275|2019-10-10
935|Flemming Bartolomivis|Jack In The Box Inc.|3624.48|367|2019-07-28
936|Wilden Lerner|European Equity Fund, Inc. (The)|7325.29|123|2019-10-04
937|Cleopatra Balcock|The Navigators Group, Inc.|8468.44|364|2019-05-18
938|Joscelin Hammelberg|Summit Hotel Properties, Inc.|6847.57|298|2020-05-22
939|Nonie Nixon|Forward Air Corporation|3508.34|90|2020-03-15
940|Alva Heliot|Bank of America Corporation|1568.04|796|2020-05-18
941|Cesaro Decroix|Newfield Exploration Company|4389.66|109|2019-03-13
942|Danni Kullmann|Wells Fargo & Company|9734.52|11|2020-03-06
943|Jonathon Woofenden|LATAM Airlines Group S.A.|5616.57|250|2019-05-12
944|Udall Upcraft|Chuy's Holdings, Inc.|9717.07|105|2020-06-04
945|Kaitlynn Assaf|Spartan Motors, Inc.|3057.60|806|2020-04-05
946|Jemie Gemelli|First Trust Multi Cap Value AlphaDEX Fund|2136.48|562|2020-03-16
947|Viviana Crotty|Colonial High Income Municipal Trust|2290.44|60|2020-05-20
948|Ryan Mapletoft|EDAP TMS S.A.|8605.00|459|2020-04-29
949|Pail Kupec|General American Investors, Inc.|2894.89|637|2019-10-14
950|Trixie Antognazzi|Peoples Financial Services Corp. |6597.24|36|2020-02-17
951|Eugine Martinat|Wright Medical Group N.V.|2280.90|309|2020-08-07
952|Katuscha Claige|Seaspan Corporation|9597.71|366|2020-06-19
953|Dalila Daglish|Omega Protein Corporation|6655.71|72|2020-03-19
954|Ella Sallan|Henry Schein, Inc.|8843.55|202|2019-09-03
955|Marketa Alstead|Main Street Capital Corporation|3944.10|391|2020-08-02
956|Cull Jahnke|Solar Senior Capital Ltd.|6857.86|921|2019-02-13
957|Jennette Ruffler|C&F Financial Corporation|2847.21|407|2020-08-02
958|Shana Goodisson|VictoryShares US Small Cap High Div Volatility Wtd ETF|5546.64|991|2020-07-15
959|Tyson Bisson|Aspen Insurance Holdings Limited|1463.66|881|2019-08-13
960|Ivor Roddick|Reis, Inc|8239.36|464|2019-06-22
961|Kalindi Dohms|Merit Medical Systems, Inc.|7982.43|550|2019-01-13
962|Kathye Syred|Renasant Corporation|2063.58|802|2020-02-06
963|Dora Kenson|Optibase Ltd.|5268.15|761|2019-11-20
964|Susan Bickford|AMREP Corporation|6283.51|367|2019-04-01
965|Elijah Simond|Colfax Corporation|5203.94|308|2020-08-12
966|Inness Keenor|Walt Disney Company (The)|8988.66|739|2020-06-03
967|Marys Greenstreet|SunTrust Banks, Inc.|3647.76|683|2019-12-17
968|Paulo Dessaur|RGC Resources Inc.|1970.58|170|2020-04-07
969|Raymund Mollatt|Interlink Electronics, Inc.|7107.60|76|2019-09-23
970|Brok MacTrustrie|W&T Offshore, Inc.|1587.16|315|2020-07-22
971|Aksel Ducarne|ChemoCentryx, Inc.|6558.36|550|2019-06-01
972|Roby Spitaro|Web.com Group, Inc.|8549.99|659|2019-10-04
973|Suzanne Sparham|Cogent Communications Holdings, Inc.|2765.86|584|2019-01-20
974|Cesar Jizhaki|Sasol Ltd.|6174.30|739|2019-11-29
975|Darrick Felton|GSI Technology, Inc.|6362.46|849|2019-10-21
976|Hagen Habert|First Trust High Yield Long/Short ETF|2846.74|755|2019-09-30
977|Mary Moggan|MannKind Corporation|4581.07|467|2020-04-17
978|Lilllie Seavers|Senomyx, Inc.|2584.75|778|2020-07-02
979|Shae Ayrs|Acxiom Corporation|9370.90|241|2019-08-12
980|Bertrand Carrier|Immuron Limited|9045.52|319|2019-06-04
981|Farra Wynrahame|AGNC Investment Corp.|7841.61|697|2020-07-01
982|Anatollo Rowney|Blackrock MuniYield Quality Fund II, Inc.|4943.69|101|2019-12-26
983|Kristi Chastan|Foresight Energy LP|1761.12|207|2020-04-18
984|Gena Bozier|Northern Trust Corporation|8573.94|731|2019-10-25
985|Berti Svanini|VelocityShares VIX Medium-Term ETN|2827.85|792|2019-02-22
986|Sibylle Thackston|American Financial Group, Inc.|6554.18|435|2019-04-27
987|Pietra Bannerman|Western Asset Global Corporate Defined Opportunity Fund Inc.|2891.10|16|2020-03-21
988|Immanuel Howles|Aberdeen Singapore Fund, Inc.|4868.14|317|2019-06-14
989|Bobbee Barter|Diamondback Energy, Inc.|9267.92|854|2020-03-11
990|Ronnie Hairs|TCW Strategic Income Fund, Inc.|1303.75|577|2020-02-12
991|Harbert Obeney|Eaton Vance NextShares Trust|8122.08|423|2019-05-13
992|Gardiner Regi|Macquarie/First Trust Global|9185.88|79|2019-10-18
993|Mycah Fudge|Independent Bank Group, Inc|6587.67|318|2019-07-31
994|Cathee Boshier|Kitov Pharmaceuticals Holdings Ltd.|6681.68|465|2020-01-28
995|Worth Ashplant|Magyar Bancorp, Inc.|3127.22|627|2019-08-23
996|Bronson Vazquez|BlackRock New York Investment Quality Municipal Trust Inc. (The)|8425.46|910|2020-08-01
997|Dulci Pehrsson|McDonald's Corporation|6858.41|308|2019-05-12
998|Benita Cella|Sotherly Hotels LP|1927.42|555|2020-01-29
999|Scarlet Wilsone|American Axle & Manufacturing Holdings, Inc.|3586.15|103|2020-06-03
1000|Alard Izaac|America First Multifamily Investors, L.P.|3735.88|651|2019-07-04
